scenario_id,title,record_ids_json,expected_behavior
ambiguous_match,Same-amount matching ambiguity,"{""payouts"": [""PAY-AMBIG-1"", ""PAY-AMBIG-2""], ""transaction"": ""ec28503b-e03f-570e-aa5f-e20508390a7d"", ""case"": ""REC-AMBIG""}",Ask for more evidence; do not pick an invoice by amount alone.
anomaly,Large payout versus explicit history,"{""payout"": ""PAY-CLOUD-OUTLIER"", ""invoice"": ""INV-CLOUD-OUTLIER"", ""transaction"": ""86bba9e3-8c33-567f-a756-968088746855"", ""case"": ""REC-CLOUD-OUTLIER""}","25000 exceeds 5 x baseline median 1000. Rule-based anomaly, not proof of error."
batch,Many payouts to one bank debit,"{""payouts"": [""PAY-BATCH-1"", ""PAY-BATCH-2""], ""transaction"": ""871e44a9-090b-5889-a8b2-945d7832e79c"", ""case"": ""REC-BATCH""}",Count the debit once; allocate it across two ledger entries.
cancelled,Payout cancelled,"{""payout"": ""PAY-CANCELLED"", ""invoice"": ""INV-CANCELLED""}",Do not count unposted payout instructions as cash outflow.
duplicate,Possible duplicate payment,"{""payout"": ""PAY-DUPLICATE"", ""transactions"": [""de2ddf15-a3c5-5119-802d-ccdf7644ce91"", ""86555dea-681b-5b03-be6b-e1d064618a13""], ""case"": ""REC-DUPLICATE""}","Two debits for one expectation. Flag ambiguity, not confirmed fraud."
exact,Exact vendor settlement,"{""payout"": ""PAY-EXACT"", ""invoice"": ""INV-EXACT"", ""transaction"": ""9a27e7b5-1cf3-5a58-8079-fec1365271d8"", ""case"": ""REC-EXACT""}",One expected payout matches one debit exactly.
failed,Payout failed,"{""payout"": ""PAY-FAILED"", ""invoice"": ""INV-FAILED""}",Do not count unposted payout instructions as cash outflow.
fee,Payout and bank fee bundled,"{""payout"": ""PAY-FEE"", ""transaction"": ""c618cf86-6d9c-5567-8146-462784d1c6cc"", ""case"": ""REC-FEE""}",Vendor outflow 10000; bank fee 100; bank debit 10100.
first_day,Inclusive start of August,"{""payout"": ""PAY-FIRST-DAY"", ""invoice"": ""INV-FIRST-DAY"", ""transaction"": ""de6ba5cf-5275-5a39-80b2-2a9d8c1101e7"", ""case"": ""REC-FIRST-DAY""}",Include August 1 in August.
installments,Two payments clear one invoice,"{""invoice"": ""INV-INSTALLMENTS"", ""payouts"": [""PAY-INSTALLMENT-1"", ""PAY-INSTALLMENT-2""]}",Invoice is paid once in total; do not duplicate its face value.
internal,Own-account transfer,"{""transactions"": [""54c02dcb-e7e6-52f8-97a7-ff1a4f05ee78"", ""00055fdf-b754-5f67-beec-4038bf682f9c""]}",Company net cash movement zero; exclude both legs from vendor spend.
july,Prior-month comparison,"{""payout"": ""PAY-JULY"", ""invoice"": ""INV-JULY"", ""transaction"": ""423b89ac-c2e0-5105-8372-2708ee4c21f6"", ""case"": ""REC-JULY""}",July total is separate from August.
last_day,Inclusive end of August,"{""payout"": ""PAY-LAST-DAY"", ""invoice"": ""INV-LAST-DAY"", ""transaction"": ""0b87dbfc-ac1b-5cf0-bdb5-ef31bc93a174"", ""case"": ""REC-LAST-DAY""}",Include August 31 in August.
legacy_unassessed,Legacy transactions without invented status,{},"Original transactions without synthetic reconciliation remain not_assessed, not unreconciled."
mismatch,Operational success but settlement discrepancy,"{""payout"": ""PAY-MISMATCH"", ""invoice"": ""INV-MISMATCH"", ""transaction"": ""5eea1f24-4538-548a-960f-5b60049822a6"", ""case"": ""REC-MISMATCH""}",Expected 10000; observed 9900; 100 remains unresolved. Operational status does not prove reconciliation.
missing_bank,Ledger payout without bank record,"{""payout"": ""PAY-MISSING-BANK"", ""invoice"": ""INV-MISSING-BANK"", ""case"": ""REC-MISSING-BANK""}",1700 expected; no bank evidence; invoice stays outstanding.
missing_reference,Matched payment without reference,"{""payout"": ""PAY-MISSING-REF"", ""invoice"": ""INV-MISSING-REF"", ""transaction"": ""96a2475e-7b55-5a24-9430-1102da7172f3"", ""case"": ""REC-MISSING-REF""}",Missing reference is not unreconciled.
next_month,Exclude next month,"{""payout"": ""PAY-NEXT-MONTH"", ""invoice"": ""INV-NEXT-MONTH"", ""transaction"": ""a06c7b06-6951-5601-9223-64deada2d09b"", ""case"": ""REC-NEXT-MONTH""}",Exclude September 1 from August.
paise,Exact decimal arithmetic,"{""payout"": ""PAY-PAISE"", ""invoice"": ""INV-PAISE"", ""transaction"": ""66653666-346f-5a97-a679-6f8028a3e939"", ""case"": ""REC-PAISE""}",1.01 INR must remain exact.
partial_invoice,Partially paid invoice,"{""payout"": ""PAY-PARTIAL"", ""invoice"": ""INV-PARTIAL"", ""transaction"": ""c3c30eb4-4282-51c5-b831-c766a537c378"", ""case"": ""REC-PARTIAL""}",4000 paid; 6000 outstanding.
pending,Payout pending,"{""payout"": ""PAY-PENDING"", ""invoice"": ""INV-PENDING"", ""case"": ""REC-PENDING""}",Do not count unposted payout instructions as cash outflow.
processing,Payout processing,"{""payout"": ""PAY-PROCESSING"", ""invoice"": ""INV-PROCESSING"", ""case"": ""REC-PROCESSING""}",Do not count unposted payout instructions as cash outflow.
refund,Partial commercial refund,"{""payout"": ""PAY-REFUND"", ""invoice"": ""INV-REFUND"", ""transaction"": ""5ab13807-fcbc-580e-97b3-4e2a7dc7d12f"", ""case"": ""REC-REFUND"", ""refund_transaction"": ""438888ec-9438-5dd3-96f7-ec15be3f555f"", ""refund_case"": ""REC-PARTIAL-REFUND""}","Gross outflow 2000, refund 500, net outflow 1500; invoice not reopened under fixture policy."
retry,Failed attempt then successful retry,"{""payout"": ""PAY-RETRY"", ""invoice"": ""INV-RETRY"", ""transaction"": ""090d63e8-2228-5b81-a9f0-efbf67f56428"", ""case"": ""REC-RETRY""}",One payout and one bank debit; do not sum attempts as payouts.
reversal,Payment reversed and invoice reopened,"{""payout"": ""PAY-REVERSED"", ""invoice"": ""INV-REVERSED"", ""transaction"": ""3858020e-5fe3-5ea7-ac88-fee402fd0b2d"", ""case"": ""REC-REVERSED"", ""refund_transaction"": ""7afcd258-23ab-5984-b824-c226985e7482"", ""refund_case"": ""REC-REVERSAL""}","Gross debit 3200, refund 3200, net zero; invoice outstanding 3200."
split,One payout to multiple bank debits,"{""payout"": ""PAY-SPLIT"", ""transactions"": [""129e5a23-d8aa-51ec-9ab9-abf22e19d8e6"", ""61b58652-d27f-5695-9b11-5c0e9649303f""], ""case"": ""REC-SPLIT""}",10000 payout reconciles to 4000+6000.
