case_id,reason_code,expected_minor,observed_minor,matched_minor
REC-BATCH,exact_match,1000000,1000000,1000000
REC-CLOUD-HISTORY-1,exact_match,100000,100000,100000
REC-CLOUD-HISTORY-2,exact_match,100000,100000,100000
REC-CLOUD-HISTORY-3,exact_match,100000,100000,100000
REC-CLOUD-HISTORY-4,exact_match,100000,100000,100000
REC-CLOUD-HISTORY-5,exact_match,100000,100000,100000
REC-CLOUD-HISTORY-6,exact_match,100000,100000,100000
REC-CLOUD-OUTLIER,exact_match,2500000,2500000,2500000
REC-EXACT,exact_match,1000000,1000000,1000000
REC-FEE,exact_match,1010000,1010000,1010000
REC-FIRST-DAY,exact_match,10000,10000,10000
REC-INSTALLMENT-1,exact_match,400000,400000,400000
REC-INSTALLMENT-2,exact_match,600000,600000,600000
REC-INTERNAL-IN,exact_match,900000,900000,900000
REC-INTERNAL-OUT,exact_match,900000,900000,900000
REC-JULY,exact_match,750000,750000,750000
REC-LAST-DAY,exact_match,20000,20000,20000
REC-LEGACY-0000,exact_match,1228076,1228076,1228076
REC-LEGACY-0001,exact_match,3383498,3383498,3383498
REC-LEGACY-0002,exact_match,1129332,1129332,1129332
REC-LEGACY-0003,exact_match,42277702,42277702,42277702
REC-LEGACY-0004,exact_match,262972,262972,262972
REC-LEGACY-0005,exact_match,2768795,2768795,2768795
REC-LEGACY-0006,exact_match,3935626,3935626,3935626
REC-LEGACY-0007,exact_match,611289,611289,611289
REC-LEGACY-0008,exact_match,3351493,3351493,3351493
REC-LEGACY-0009,exact_match,1558145,1558145,1558145
REC-LEGACY-0010,exact_match,3792502,3792502,3792502
REC-LEGACY-0011,exact_match,49886607,49886607,49886607
REC-LEGACY-0012,exact_match,3538184,3538184,3538184
REC-LEGACY-0013,exact_match,7976951,7976951,7976951
REC-LEGACY-0014,exact_match,3392034,3392034,3392034
REC-LEGACY-0015,exact_match,2162701,2162701,2162701
REC-LEGACY-0016,exact_match,922768,922768,922768
REC-LEGACY-0017,exact_match,3357623,3357623,3357623
REC-LEGACY-0018,exact_match,434460,434460,434460
REC-LEGACY-0019,exact_match,1920154,1920154,1920154
REC-LEGACY-0020,exact_match,4970182,4970182,4970182
REC-LEGACY-0021,exact_match,1406322,1406322,1406322
REC-LEGACY-0022,exact_match,4222435,4222435,4222435
REC-LEGACY-0023,exact_match,737293,737293,737293
REC-LEGACY-0024,exact_match,1240402,1240402,1240402
REC-LEGACY-0025,exact_match,527188,527188,527188
REC-LEGACY-0026,exact_match,4655459,4655459,4655459
REC-LEGACY-0027,exact_match,857059,857059,857059
REC-LEGACY-0028,exact_match,30113683,30113683,30113683
REC-LEGACY-0029,exact_match,420891,420891,420891
REC-LEGACY-0030,exact_match,39226797,39226797,39226797
REC-LEGACY-0031,exact_match,2106327,2106327,2106327
REC-LEGACY-0032,exact_match,10995017,10995017,10995017
REC-LEGACY-0033,exact_match,1828005,1828005,1828005
REC-LEGACY-0034,exact_match,284947623,284947623,284947623
REC-LEGACY-0035,exact_match,2310246,2310246,2310246
REC-LEGACY-0036,exact_match,42736831,42736831,42736831
REC-LEGACY-0037,exact_match,20743512,20743512,20743512
REC-LEGACY-0038,exact_match,4150065,4150065,4150065
REC-LEGACY-0039,exact_match,1966502,1966502,1966502
REC-LEGACY-0040,exact_match,47165231,47165231,47165231
REC-LEGACY-0041,exact_match,3144303,3144303,3144303
REC-LEGACY-0042,exact_match,1311827,1311827,1311827
REC-LEGACY-0043,exact_match,1143061,1143061,1143061
REC-LEGACY-0044,exact_match,3856371,3856371,3856371
REC-LEGACY-0045,exact_match,4176687,4176687,4176687
