case_id,family,question,original_question,expected_behavior,expected_human_answer,result_csv,evidence_csv,display_rule
G001,spend,How much did we spend on vendor payouts last month?,How much did we spend on vendor payouts last month?,answer,"In August 2026, recorded vendor cash outflow was ₹47,79,589.04 across 39 bank transactions. This excludes fees, internal transfers and unclassified cash movements, and includes disputed vendor debits.",records/G001_result.csv,records/G001_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G002,spend,And the month before?,And the month before?,answer,"In July 2026, recorded vendor cash outflow was ₹57,85,010.06 across 27 bank transactions, using the same scope as the previous answer.",records/G002_result.csv,records/G002_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G003,multi_turn,How much did that increase from July to August?,How much did that increase from July to August?,answer,"Vendor cash outflow decreased by ₹10,05,421.02 (17.38%) from July to August 2026. July was ₹57,85,010.06 and August was ₹47,79,589.04.",records/G003_result.csv,records/G003_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G004,spend,What was gross debit outflow in August?,What was gross debit outflow in August?,answer,"Total money debited in August 2026 was ₹7,56,97,784.85 across 417 bank transactions. This includes vendor payments, fees, internal transfers and unclassified debits.",records/G004_result.csv,records/G004_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G005,spend,What was credit inflow in August?,What was credit inflow in August?,answer,"Total money credited in August 2026 was ₹4,56,66,475.86 across 263 bank transactions. Credits are cash inflows, not necessarily revenue.",records/G005_result.csv,records/G005_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G006,spend,What was net cash movement in August?,What was net cash movement in August?,answer,"Net cash movement in August 2026 was −₹3,00,31,308.99: ₹4,56,66,475.86 came in and ₹7,56,97,784.85 went out. Cash outflow exceeded inflow by ₹3,00,31,308.99; this is not a profit calculation.",records/G006_result.csv,records/G006_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G007,spend,What was net vendor cash spend in August?,What was net vendor cash spend in August?,answer,"Net vendor cash spend in August 2026 was ₹47,75,889.04 across 41 bank transactions: ₹47,79,589.04 of vendor debits less ₹3,700.00 of vendor refund/reversal credits.",records/G007_result.csv,records/G007_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G008,spend,What were August bank fees?,What were August bank fees?,answer,"Recorded, classified bank fees in August 2026 were ₹100.00, allocated from one bank transaction. Other unclassified legacy debits may contain fees that have not been identified.",records/G008_result.csv,records/G008_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G009,spend,How much unclassified debit outflow remains in August?,How much unclassified debit outflow remains in August?,answer,"₹7,09,09,095.81 of August 2026 debit outflow remains unclassified across 377 bank transactions. It is excluded from the labelled vendor-spend total.",records/G009_result.csv,records/G009_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G010,spend,How much did we spend on supplies in August?,What was August vendor outflow in category SUP?,answer,"August 2026 vendor cash outflow for Supplies was ₹37,21,436.54 across 17 bank transactions.",records/G010_result.csv,records/G010_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G011,spend,What was our August spend on software and technology?,What was August vendor outflow in category TECH?,answer,"August 2026 vendor cash outflow for Software and technology was ₹1,19,056.20 across 4 bank transactions.",records/G011_result.csv,records/G011_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G012,spend,How much went to logistics vendors in August?,What was August vendor outflow in category LOG?,answer,"August 2026 vendor cash outflow for Logistics was ₹3,65,158.49 across 5 bank transactions.",records/G012_result.csv,records/G012_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G013,spend,What was August spending on utilities?,What was August vendor outflow in category UTIL?,answer,"August 2026 vendor cash outflow for Utilities was ₹1,22,107.71 across 6 bank transactions.",records/G013_result.csv,records/G013_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G014,spend,How much did we pay for professional services in August?,What was August vendor outflow in category SERV?,answer,"August 2026 vendor cash outflow for Professional services was ₹4,51,830.10 across 7 bank transactions.",records/G014_result.csv,records/G014_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G015,spend,What was August vendor outflow for Acme Supplies?,What was August vendor outflow for Acme Supplies?,answer,"ACME Supplies Pvt Ltd had ₹1,41,851.02 of recorded vendor cash outflow in August 2026 across 13 bank transactions.",records/G015_result.csv,records/G015_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G016,spend,What was August vendor outflow for Nimbus?,What was August vendor outflow for Nimbus?,answer,"Nimbus Cloud Services had ₹27,000.00 of gross vendor cash outflow in August 2026 across 2 bank transactions. This is before subtracting its refund.",records/G016_result.csv,records/G016_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G017,spend,What was August vendor outflow for ACME Logistics?,What was August vendor outflow for ACME Logistics?,answer,"ACME Logistics Pvt Ltd had ₹11,500.00 of vendor cash outflow in August 2026 across 3 bank transactions.",records/G017_result.csv,records/G017_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G018,spend,Break August vendor outflow down by category.,Break August vendor outflow down by category.,answer,"August 2026 recorded vendor cash outflow totalled ₹47,79,589.04. The category breakdown is shown below.",records/G018_result.csv,records/G018_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G019,spend,Who were the top five vendors by August cash outflow?,Who were the top five vendors by August cash outflow?,answer,The five vendors with the highest recorded cash outflow in August 2026 are listed below. These vendor classifications come from the synthetic fixture.,records/G019_result.csv,records/G019_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G020,spend,"What was the total of August vendor payment allocations above ₹50,000?","Show August vendor outflow above 50,000 INR per allocation.",answer,"6 August 2026 bank transactions have vendor allocations strictly above ₹50,000.00, totalling ₹43,38,812.49 in qualifying allocations. An allocation of exactly ₹50,000.00 is excluded.",records/G020_result.csv,records/G020_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G021,spend,"What was the total of August vendor payment allocations of ₹50,000 or more?","Show August vendor outflow at least 50,000 INR per allocation.",answer,"7 August 2026 bank transactions have vendor allocations of at least ₹50,000.00, totalling ₹43,88,812.49 in qualifying allocations. This includes the allocation of exactly ₹50,000.00.",records/G021_result.csv,records/G021_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G022,payout,"How many payouts succeeded, and what was their total instructed amount?",What is the count and instructed amount of succeeded payouts?,answer,"Across all recorded dates, 529 payouts are marked succeeded, with instructed amounts totalling ₹7,87,75,491.85 as of 5 September 2026. This is an instruction-status total, not observed bank cash.",records/G022_result.csv,records/G022_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G023,payout,"How many payouts are pending, and what is their total amount?",What is the count and instructed amount of pending payouts?,answer,"Across all recorded dates, 1 payout is marked pending, with instructed amounts totalling ₹800.00 as of 5 September 2026. This is an instruction-status total, not observed bank cash.",records/G023_result.csv,records/G023_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G024,payout,"How many payouts are processing, and what is their total amount?",What is the count and instructed amount of processing payouts?,answer,"Across all recorded dates, 3 payouts are marked processing, with instructed amounts totalling ₹11,900.00 as of 5 September 2026. This is an instruction-status total, not observed bank cash.",records/G024_result.csv,records/G024_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
G025,payout,"How many payouts failed, and what was their total amount?",What is the count and instructed amount of failed payouts?,answer,"Across all recorded dates, 1 payout is marked failed, with instructed amounts totalling ₹700.00 as of 5 September 2026. This is an instruction-status total, not observed bank cash.",records/G025_result.csv,records/G025_evidence.csv,Show the expected result table or full record drill-down; preview at most 10 list rows with explicit total count.
