vendor_id,vendor_name,category
V0001,ABC Suppliers,Raw Materials
V0002,Acme Industrial Ltd,Manufacturing
V0003,Bharat Logistics Pvt Ltd,Logistics
V0004,CloudNine Systems,IT Services
V0005,Delhi Steel Works,Raw Materials
V0006,Elite Movers,Logistics
V0007,Falcon Consulting,Professional Services
V0008,GreenBuild Corp,Facilities
V0009,Hitech Solutions,IT Services
V0010,Indus Packaging,Packaging
V0011,Jupiter Marketing,Marketing
V0012,Kaveri Agro,Raw Materials
V0013,Lumina Power,Utilities
V0014,Metro Transport,Logistics
V0015,Nova Print Media,Marketing
V0016,Orbit Software Labs,IT Services
V0017,Precision Tooling Co,Manufacturing
V0018,Quantum Analytics,Professional Services
V0019,Rajesh Hardware,Raw Materials
V0020,Sunrise Interiors,Facilities
V0021,Triveni Chemicals,Raw Materials
V0022,United Freight,Logistics
V0023,Vista Ad Agency,Marketing
V0024,Wavelength Telecom,IT Services
V0025,Xpress Courier,Logistics
V0026,Yamuna Textiles,Manufacturing
V0027,Zenith Security,Facilities
V0028,Aravalli Cements,Raw Materials
V0029,Blue Ocean Traders,Professional Services
V0030,Chennai Auto Parts,Manufacturing
V0031,Deccan Foods,Raw Materials
V0032,Everest Electricals,Utilities
V0033,First Mile Logistics,Logistics
V0034,Ganga Paper Mills,Packaging
V0035,Himalaya Travel Desk,Travel
V0036,Infotech Staffing,Professional Services
V0037,Jetset Corporate Travel,Travel
V0038,Kiran Stationers,Facilities
V0039,Lotus Facility Care,Facilities
V0040,Meridian Legal Advisors,Professional Services
